Zkoušející,Rok,Obor,Oborová,Předmět,Otázka,,
Rybola Zdeněk,LS 2016,SI,Ano,SI1,Analýza a správa požadavků. (UML Diagram aktivit) Zaměřte se na modelování doménových business procesů. ,,
Rybola Zdeněk,LS 2019,SI,Ano,SI1,"Klasické a agilní metodiky vývoje software (základní principy, vhodnost použití, řešené problémy). Základní popis metodik Unified Process (UP), Extrémní programování (XP) a SCRUM. Zaměřte se na agilní metodiky a SCRUM.",,
Špaček Petr,LS 2015,SI,Ano,SI1,"Principy OOP, polyformismus, zapouzdření, graficky ilustrovat atributy a metody ",,
Špaček Petr,LS 2015,SI,Ano,SI1,Uvést všechny fáze tvorby SW díla + ke každé fázi ,,
Jiří Mlejnek,ZS 2020,"SI
",Ano,SI1,"Analýza a správa požadavků (cíle, kategorizace, UML diagram případů užití, scénáře případů užití, UML diagram aktivit).",,
Daněček Jiří,LS 2019,WSI,Ano,SI1,"Analýza a správa požadavků (cíle, kategorizace, UML diagram případů užití, scénáře případů užití, UML diagram aktivit).",,
Daněček Jiří,LS 2019,WSI,Ano,SI1,Klasické a agilní metodiky vývoje. Popište Unified Process.,,
,ZS 2019,WSI,Ano,SI1,Souvislost mezi Class Diagramem a C++ objektama. Udělat ukázku Class diagramu a Sekvenčního diagramu na příkladu systém pro knihovnu.,,
Daněček,LS 2020,WSI-SI,,SI1,Popsat sekvenční diagram,,
Daněček Jiří,LS 2020,WSI-SI,Ano,SI1,Vysvětlit sekvenční diagram,,
Mlejnek,LS 2020,WSI-SI,Ano,SI1,"Klasické a agilní metodiky vývoje software (základní principy, vhodnost použití, řešené problémy). Základní popis metodik Unified Process (UP), Extrémní programování (XP) a SCRUM.",,
Richtr Radek,LS 2019,WSI-SI,Ano,SI1,"Analýza a správa požadavků (cíle, kategorizace, UML diagram případů užití, scénáře případů užití, UML diagram aktivit). Zaměřte se na diagram aktivit, popište jednotlivé prvky. Modelujte proces bakalářské práce (od jejího zadání po její obhajobu). Lze pomocí diagramu aktivit modelovat datovou paměť?",,
Rybola Zdeněk,LS 2019,WSI-SI,Ano,SI1,"Analýza a správa požadavků (cíle, kategorizace, UML diagram případů užití, scénáře případů užití, UML diagram aktivit). - Zaměřte se na UML diagram aktivit business procesů. Jeho význam, použití, koncepty a komponenty.",,
Daněček,LS 2020,"WSI-SI
",Ano,SI1,Abstraktní továrna.,,
Bernhauer David,LS 2022,WSI-WI,Ano,SI1,"Třívrstvá architektura, MVC, GoF vzory (abstraktní továrna, adaptér, stav)",,
Guth Ondřej,"LS 2017, 2018",,Ne,SI1,"Analytický doménový model tříd a popis životního cyklu identifikovaných tříd (cíle, UML diagram tříd, UML stavový diagram). ",,
Mlejnek,LS 2021,ISM,Ano,SI2,"Zajištění kvality software: Způsoby zjišťování kvality, typologie testů, atributy testů, black vs. white box, akceptační, kvalifikační, regresní testy, automatizace testů. (bez specifikace)",,
Pergl Robert,LS 2015,ISM,Ano,SI2,Řízení verzí. Řízení dodávek. Řízení změn. Jak tyto pojmy spolu souvisí? ,,
Chludil Jiří,LS 2015,SI,Ano,SI2,"Black-box, white-box testovanie ",,
Mlejnek Jiří,LS 2015,SI,Ano,SI2,"Quality assurance, typológia testov, white box vs. black box, výhody a nevýhody ",,
Mlejnek Jiří,LS 2015,SI,Ano,SI2,"Zajištění kvality - testování, black-box, white-box, typologie testů, výhody a nevýhody. ",,
Mlejnek Jiří,LS 2015,SI,Ano,SI2,Rizeni verzi - vysvetlit pojem a k cemu se pouziva. Vysvetlit rozdil mezi centralizovanou a decentralizovanou a dalsi okecavani ,,
Mlejnek Jiří,LS 2015,SI,Ano,SI2,"Konfigurační řízení - řízení změn. Principy, nástroje a postupy pro řízení změn. Souvislosti s řízením verzí. ",,
Mlejnek Jiří,LS 2015,SI,Ano,SI2,"Typologie testů, white-box, black-box testování, výhody, nevýhody ",,
Petr Kroha,LS 2022,SI,Ano,SI2,"Zajištění kvality software: Způsoby zjišťování kvality, typologie testů, black vs. white box, akceptační, kvalifikační, regresní testy, automatizace testů.",,
Rybola Zdeněk,LS 2015,SI,Ano,SI2,Převod konceptového modelu na čistě objektový. Popište převod sotrálních typů a uveďte příklad. ,,
Špaček Petr,LS 2015,SI,,SI2,"Softwarový proces a jeho zlepšování: standardy, základní model SPI a přístupy (prescriptive, inductive, best practices), proces organizace, projektu, jedince a souvislosti. ",,
Špaček Petr,LS 2015,SI,Ano,SI2,"Software process improvement: standardy, modely (preskriptivní, induktivní, best practices), souvislosti mezi procesem organizace, projektu a jedince (vůbec nevim, co to znamená). Nakreslit diagram aktivit výběru peněz z bankomatu a něco s use-case (ne diagram) a aktory ",,
Špaček Petr,LS 2015,SI,Ano,SI2,Údržba ,,
Špaček Petr,LS 2015,SI,Ano,SI2,Převod konceptuálního na objektový model a alespoň 2 rozdíly mezi nimi. Popis oblíbeného Gof vzoru nebo vysvětlit MVC ,,
Pavlíčková Petra,LS 2017,WSI-SI,Ano,SI2,"Zajištění kvality software: Způsoby zjišťování kvality, typologie testů, black vs. white box, zaměřte se na akceptační testování. Proces akceptačního testování. ",,
Krátký Tomáš,LS 2017,,Ano,SI2,Typologie testů.,,
Fišer Petr,LS 2017,,Ano,SRC,"Spolehlivost, bezpečnost a odolnost proti poruchám. Blokové modely spolehlivosti a výpočty spolehlivostních ukazatelů. ",,
Náplava Pavel,LS 2015,ISM,Ano,TIS,Jaké znáte způsoby řízení společnosti? Popište procesní řízení a ostatní způsoby. Jaké má kladné a záporné stránky ,,
Náplava Pavel,LS 2015,ISM,Ano,TIS,"Proces nasazení IS, údržba, podpora, souvislost podpory s celým procesem vývoje. ",,
Náplava Pavel,LS 2015,ISM,Ano,TIS," Projekt, Projektové řízení. Definujte pojmy, uveďte výhody a nevýhody. Lze změny provádět i jiným způsobem než formou projektu? Pokud ano, jakou? Pokud ne, proč? ",,
Náplava Pavel,LS 2015,ISM,Ano,TIS,Předimplementační fáze a poimplementační fáze IS ,,
Náplava Pavel,"LS 2015, 2019",ISM,Ano,TIS,"Jak podporují informační systémy firmy, které se zabívají výrobou a firmy, které se starají o zákazníky? Napište rozdíly a společné vlastnosti těchto systémů. Existuje nějaké komplexní řešení, které zhodnocuje oba přístupy? Pokud ne, uveďte proč. ",,
Pavlíčková Petra,LS 2017,,Ano,TIS,"Architektury IS podle typů zákazníka a oblasti použití (ERP, BI, podpora vrcholového rozhodování). ",,
Guth Ondřej,LS 2018,SI,Ano,TJV,"Architektura podnikových aplikací. Popis jednotlivých vrstev JEE aplikací: klientská vrstva, webová vrstva, vrstva obchodní logiky, EIS vrstva.",,
Daněček,LS 2021,WSI-SI,Ano,TJV,Popište výhody a princip dependency injection.,,
Daněček Jiří,LS 2020,WSI-SI,Ano,TJV,Význam termínu Webové služby REST a Webové služby SOAP.,,
Daněček Jiří,ZS 2019,WSI-SI,Ano,TJV,"Architektura podnikových aplikací. Popis jednotlivých vrstev JEE aplikací: klientská vrstva, webová vrstva, vrstva obchodní logiky, EIS vrstva.",,
Pavlíček,LS 2020,WSI-SI,Ano,TJV,"JDBC v podnikových aplikacích: Obecný popis JDBC, Data Source, JNDI, Connection Pool, JDBC Resources. Uvést v pseudokódu příklad, jak bych z databáze pomocí JDBC nebo ORM vytáhl záznam konkrétní Entity (ta tam byla popsaná). Ještě tam byla jedna podotázka, kterou si nepamatuju",,
Pavlíček,LS 2020,WSI-WI,Ano,TJV,"Aplikační server a JNDI služba: popis aplikačního serveru, webový kontejner, EJB kontejner, využití JNDI ke konfiguraci datových zdrojů. Zaměřit se na JNDI, co to je, pomocí pseudokódu (nebo slovně) popsat práci se zdrojem identifikovaným jako „JDBC/MyResource“",,
Pavlíček Josef,LS 2020,WSI-WI,Ano,TJV,"JDBC v podnikových aplikacích: popis JDBC obecně, popis dat datového zdroje (DataSource), nastavení datových zdrojů v aplikačním serveru (JDBC Connection Pool, JDBC Resources).",,
Pavlíček Josef,LS 2020,WSI-WI,Ano,TJV,"Aplikační server a JNDI služba: popis aplikačního serveru, webový kontejner, EJB kontejner, využití JNDI ke konfiguraci datových zdrojů. Zaměřit se na JNDI, co to je, pomocí pseudokódu (nebo slovně) popsat práci se zdrojem identifikovaným jako ""JDBC/MyResource"".",,
Chludil Jiří,LS 2015,WM,Ano,TUR,"Testování použitelnosti (etapy testování, způsoby testování) ",,
Chludil Jiří,LS 2015,WM,Ano,TUR,"Prediktívne testovanie (Kognitívny, heuristický prechod) ",,
Schmidt jan,LS 2016,WM,Ano,TUR,"Průzkum uživatelů, doménová a kontextová analýza. Postavení uživatele ve vývojovém týmu, metody komunikace s uživatelem. Doménová a kontextová analýza, jejich výstupy a použití.",,
Chludil,LS 2021,WSI-PG,Ano,TUR,Prediktivní a interpretativní metody vyhodnocování a testování uživatelských rozhraní. Testování použitelnosti.,,
Bernhauer David,LS 2022,WI,Ano,TWA,Bezpecnost aplikaci - Zamerit se na utok cross-site scripting,,
Bernhauer David,LS 2022,WI,Ano,TWA,HTTP protokol. Obsluha HTTP požadavku. Struktura HTTP požadavku a odpovědi. Stav webové aplikace.,,
Skrbek Miroslav,LS 2015,PI,Ano,VES,"Čítače/časovače, události a obsluha, hodiny reálného času ",,
Skrbek Miroslav,LS 2022,PI,Ano,VES,"Čítače a časovače, zpracování a generování událostí, pulsně šířková modulace (PWM), hodiny reálného času, dohlížecí obvody pro napájení (power-fail), watchdog.",,
Skrbek Miroslav,ZS 2017,,Ano,VES,"Digitální vstupy/výstupy a jejich konfigurace, analogové vstupy a výstupy. Připojování zobrazovacích prvků, klávesnice kapacitní, tlačítkové, dotykové displeje.Zaměřte se na dig. vstupy a výstupy. Popiště kapacitná a tlačítkovou klávesnici. ",,
Novák Jiří,LS 2022,WI,Ano,VWM,"Vyhledávání v multimediálních databázích, podobnostní vyhledávání podle obsahu, podobnostní dotazování, agregační operátory, indexování metrické podobnosti, aproximativní vyhledávání: zúžení na indexování metrické posloupnosti — co je metrika, jaké známe metriky, popsat nějakou metodu indexování a podle čeho se měří jednotlivé způsoby (čas, počet operací).",,
Jiří Novák,LS 2020,WSI-SI,Ano,VWM,Popište analýzu odkazů a proč ji provádíme. PageRank,,
Jiří Novák,LS 2020,WSI-WI,Ano,VWM,Agregační operátory,,
Novák Jiří,LS 2019,WSI-WI,Ano,VWM,Popsat top-k a skyline + algoritmy,,
Jiřina Marcel,LS 2016,TI,Ano,VZD,"Neuronové sítě, kombinování modelů, shluková analýza ",,
Kordík Pavel,LS 2016,TI,Ano,VZD,Neuronové sítě - způsoby učení. Minimální topologie pro řešení XOR klasifikace ,,
Dedecius Kamil,LS 2022,ZI,Ano,VZD,Naivní Bayesův klasifikátor,,
Jiřina,LS 2020,ZI,Ano,VZD,"Naivní Bayesův klasifikátor, modely podmíněných pravděpodobností.",,
Jiřina,LS 2020,ZI,Ano,VZD,"Rozhodovací stromy: algoritmus konstrukce stromů, hyperparametry. Náhodné lesy.",,
Klouda,LS 2020,ZI,Ano,VZD,Naivní Bayesův klasifikátor a modely podmíněných pravděpodobností.,,
Klouda,LS 2020,ZI,Ano,VZD,"Metoda nejbližších sousedů, metriky, metody shlukové analýzy (k-nejbližších center, hierarchické shlukování).",,
Klouda,LS 2020,ZI,Ano,VZD,"Lineární regrese (geometrická interpretace), regularizace pomocí hřebenové regrese.",,
Klouda,LS 2020,ZI,Ano,VZD,"Rozhodovací stromy: algoritmus konstrukce stromů, hyperparametry. Náhodné lesy.",,
Klouda Karel,LS 2019,ZI,Ano,VZD,"Rozhodovací stromy a jejich konstrukce, hyperparametry (bez lesů)",,
Klouda Karel,LS 2019,ZI,Ano,VZD,Logistická regrese,,
Klouda Karel,LS 2020,ZI,Ano,VZD,"Metody shlukové analýzy (k-nejbližších center, hierarchické shlukování)",,
Klouda Karel,LS 2020,ZI,Ano,VZD,"Rozhodovací stromy: algoritmus konstrukce stromů, hyperparametry. Náhodné lesy.",,
Klouda Karel,LS 2022,ZI,Ano,VZD,Naivní Bayesův klasifikátor,,
Klouda Karel,LS 2022,ZI,Ano,VZD,Naivní Bayesův klasifikátor,,
Kordík,LS 2021,ZI,Ano,VZD,"Naivní Bayesův klasifikátor, modely podmíněných pravděpodobností.",,
Kordík Pavel,LS 2019,ZI,Ano,VZD,"Naivní Bayesův klasifikátor, modely podmíněných pravděpodobností. Zaměřit se na spojité příznaky.",,
Kordík Pavel,ZS 2020,ZI,Ano,VZD,"Rozhodovací stromy: algoritmus konstrukce stromů, hyperparametry.",,
Smítková Janků,LS 2022,ZI,Ano,VZD,"Metoda nejbližších sousedů, metriky, metody shlukové analýzy (k-nejbližších center, hierarchické shlukování).",,
Starosta Štěpán,LS 2019,ZI,Ano,VZD,"Rozhodovacie stromy, zamerať sa na konštrukciu, hyperparametre ",,
Surynek,LS 2020,ZI,Ano,VZD,"kNN - co, jak, proč, metriky, hyperpamatery a jejich volba",,
Vašata,LS 2020,ZI,Ano,VZD,"Lineární regrese, regularizace pomocí hřebenové regrese",,
Vašata,LS 2021,ZI,Ano,VZD,"Rozhodovací stromy: algoritmus konstrukce stromů, hyperparametry. Náhodné lesy.",,
Vašata Daniel,LS 2019,ZI,Ano,VZD,"Naivní Bayesův klasifikátor, modely podmíněných pravděpodobností ",,
Vašata Daniel,LS 2019,ZI,Ano,VZD,"Lineární regrese, regularizace pomocí hřebenové regrese",,
Vašata Daniel,LS 2019,ZI,Ano,VZD,"Metody shlukové analýzy, zaměřit se na hierarchické shlukování.",,
Vašata Daniel,LS 2020,ZI,Ano,VZD,"Lineární regrese, regularizace pomocí hřebenové lineární regrese",,
Dedecius Kamil,LS 2022,ZI,Ano,VZD,Logistická regrese,,
Bařinka Lukáš,LS 2016,WM,Ano,WT1,,,
Kadlec Tomáš,LS 2016,WM,Ano,WT1,Skriptovací jazyky na straně klienta (uživatelského agenta - prohlížeče) webové aplikace. ,,
Kuchař Jaroslav,LS 2016,WM,Ano,WT1," Základní postupy, technologie a standardy na straně klienta (uživatelského agenta - prohlížeče) webové aplikace. ",,
Kuchař Jaroslav,LS 2017,,Ano,WT1,Skriptovací jazyky na klientovi .,,
Bařinka Lukáš,LS 2016,WM,Ano,WT2,"Výměna dat mezi aplikacemi - webové služby, využití standardů XML, DTD, W3c XMLSchema, XSLT. ",,
Jirkovský Vojtěch,LS 2015,WM,Ano,WT2,"Testování: Black Box, Grey Box, White Box, Unit testy, Statická analýza kódu, Integrační testy ",,
Jirkovský Vojtěch,LS 2015,WM,Ano,WT2,"Cross-site scripting, popis útoku, typy, ochrana. ",,
Jirkovský Vojtěch,LS 2016,WM,Ano,WT2,"Synchronní a asynchronní zpracování požadavků, Ajax, a jejich obsluha.",,
Kadlec Tomáš,LS 2016,WM,Ano,WT2,"Asynchronní zpracování požadavků webovým prohlížečem (AJAX), jeho výhody a nevýhody. ",,
Jirkovský Vojtěch,ZS 2017,,Ano,WT2,XSRF + možná ochrana ,,
Jiří Novák,LS 2020,WSI-WI,Ano,WVM,"Popište analýzu odkazů a proč ji provádíme. PageRank (popsat algoritmus, výpočet vah stránek, google matice - podmínky primitivní, stochastická...)",,
Petr Klán,ZS 2020,WI,Ano,XML,"Formát XML, nástroje pro práci s XML, využití. Dobře formovaný (well-formed) a validní (valid) XML dokument. Jmenné prostory (namespaces). Upřesnění: Uvědte svůj příklad takového dokumentu.",,
Kleprlík Luděk,LS 2019,BIT,Ne,ZDM,"Teorie čísel, gcd, lcm, diofantické rovnice, Fermatova věta",,
Klán Petr,ZS 2019,ISM,Ne,ZDM,"Modulární aritmetika, základy teorie čísel, Malá Fermatova věta, diofantické rovnice, lineární kongruence, Čínská věta o zbytcích",,
Kleprlík Luděk,LS 2015,ISM,Ne,ZDM,"Lineární diofantické rovnice. Definovat, uvést příklad, vyřešit ho. Lineární kongruence. Jak kongruence a diofantické rovnice spolu souvisí? ",,
Petr Ivo,ZS 2015,IT,Ne,ZDM,Homogenní rekurentní rovnice s konstatními koeficienty ,,
Kalvoda Tomáš,LS 2022,SI,Ne,ZDM,"Modulární aritmetika, základy teorie čísel, Malá Fermatova věta, diofantické rovnice, lineární kongruence, Čínská věta o zbytcích. Konkrétne definovať kongruenciu, gcd, prvočíslo a Malú Fermatovú vetu",,
Kolář Josef,LS 2015,SI,Ne,ZDM,"Modulární aritmetika, teorie čísel, vypočítat příklad na modulární umocnění, vypočítat diofantickou rovnici. ",,
Kolář Josef,LS 2015,SI,Ne,ZDM,Modulární aritmetika. Lineární kongruence. Čínská věta o zbytcích. + příklad na soustavu lineárních kongruencí ,,
Kolář Josef,LS 2015,SI,Ne,ZDM,"pocitanie modulo, linearni kongruence, ciska veta veta o zbytkoch, sustava 2 rovnic, jedna modulo 5. druha modulo 7, po uprave vyslo x=4 mod 5, x=6 mod 7 ",,
Kolář Josef,LS 2018,SI,Ne,ZDM,"Modulární aritmetika, základy teorie čísel, Malá Fermatova věta, diofantické rovnice, lineární kongruence, Čínská věta o zbytcích.",,
Rybníčková Jitka,LS 2015,SI,Ne,ZDM,Rekurentné rovnice a ich zostavovanie pri riešení časovej zložitosti algoritmov ,,
Trlifajová Kateřina,LS 2022,SI,Ne,ZDM,"Diofantické rovnice, výpočet 4x + 7y = c",,
Trlifajová Kateřina,LS 2022,SI,Ne,ZDM,"Modulární aritmetika, Malá Fermatova věta + příklad na výpočet mocniny, popsat výpočet opačného a inverzního prvku, ukázat na příkladech",,
Dombek Daniel,"LS 2016, 2018",TI,Ne,ZDM,"Metody řešení rekurentních rovnic, sestavování a řešení rekurentních rovnic při analýze časové složitosti algoritmů. ",,
Guth Ondřej,LS 2016,TI,Ano,ZDM,"Binární relace, operace s relacemi, ekvivalence ",,
Kolář Josef,LS 2019,TI,Ne,ZDM,"Řešení rekurentních rovnic, porovnat řešení f(n) = f(n/2) + n a f(n) = f(n-2) + n",,
Kolář Josef,ZS 2015,TI,Ne,ZDM,"Rekurentní rovnice a metody jejich řešení, vyřešit a(n+1) = 2*a(n) + n, a T(n) = 2T(n/2) + n. ",,
Pernecká,LS 2021,TI,Ne,ZDM,Rekurentní rovnice,,
Dombek Daniel,LS 2022,WI,Ne,ZDM,"Modularni aritmetika - Konkrétne definovať gcd, lcm, delitelnost, ako najst gcd bez rozkladu na prvocisla, diofaniticke rovnice, linearna kongruencia",,
Pernecká Eva,LS 2019,WSI-SI,Ne,ZDM,Metody reseni rekurentnich rovnic,,
Klán,LS 2020,WSI-WI,Ne,ZDM,"Modulární aritmetika, zaměřit se výhradně na definici lineárních kongruencí a jejich řešení a na ČVOZ",,
Kleprlík Luděk,LS 2017,,Ne,ZDM,"Lineárne diofantické rovnice (predpis, vlasnosti, kedy majú riešenie, uviesť príklad a vypočítať), lineárne kongruencie a ako súvisia s lineárnymi diofantickými rovnicami ",,
Jan Starý,LS 2022,BIT,Ne,ZMA,"Limita funkce: definice, existence, vlastnosti. Souvislost limity a spojitosti funkce (Heineho věta)",,
Kleprlík Luděk,LS 2019,BIT,Ne,ZMA,"Limita a derivace funkce (definice a vlastnosti, geometrický význam), využití při vyšetřování průběhu funkce.",,
Kleprlík Luděk,LS 2019,BIT,Ne,ZMA,"Číselné řady (konvergence číselné řady, kritéria konvergence, odhadování rychlosti růstu řad pomocí určitého integrálu).",,
Petr Olšák,LS 2022,BIT,Ne,ZMA,"Definujte limitu funkce (levou, pravou, oboustrannou) a popište na příkladu y=1/x, lim(x->0+). Defiujte derivaci funkce a popište její využití při vyšetřování průběhu. Jedno z využití si vyberte a podrobně vysvětlete. ",,
Zhouf Jaroslav,LS 2019,BIT,Ne,ZMA,"Číselné řady (konvergence číselné řady, kritéria konvergence, odhadování rychlosti růstu řad pomocí určitého integrálu).       ",,
Zhouf Jaroslav,ZS 2019,BIT,Ne,ZMA,"Číselné řady (konvergence číselné řady, kritéria konvergence, odhadování rychlosti růstu řad pomocí určitého integrálu).        ",,
Jiřina Marcel,LS 2016,ISM,Ne,ZMA,"Limita a derivace funkce (definice a vlastnosti, geometrický význam), využití při vyšetřování průběhu funkce ",,
Kleprlík Luděk,LS 2015,ISM,Ne,ZMA,"Definujte limitu posloupnosti, řadu, součet řady pomocí integrálů a pak něco s harmonickou řadou ",,
Soudský Filip,LS 2016,ISM,Ne,ZMA,"Číselné řady (konvergence číselné řady, kritéria konvergence, odhadování rychlosti růstu řad pomocí určitého integrálu) ",,
Šolcová Alena,LS 2015,ISM,Ne,ZMA,"Derivácia funkcie, lokálne a globálne extrémy, vypočítať lokálne a globálne extrémy funkcie -17 + 15x + 2x^2 - 3x^3 na celom D_f + na intervale ←2,6>. Napísať niečo k asymptotám funkcie. ",,
Zhouf Jaroslav,LS 2015,ISM,Ne,ZMA,"Taylorův polynom, chyba ",,
Zhouf Jaroslav,LS 2015,ISM,Ne,ZMA,"Integrál, určitý integrál, neručitý integrál, primitivní funkce, substituce,per partes. Využití integrálu. ",,
Jan Valdman,ZS 2023,ISM,Ne,ZMA,"Limita a derivace funkce (definice a vlastnosti), využití při vyšetřování průběhu funkce. ",,
Klouda Karel,LS 2015,IT,Ne,ZMA,"Derivace, drivace složené fce a využití derivace při hledání extrémů ",,
Vašata Daniel,LS 2015,IT,Ne,ZMA,"Limita a derivace funkce (definice a vlastnosti), využití při vyšetřování průběhu funkce. ",,
Klouda Karel,ZS 2020,PI,Ne,ZMA,"Limita a derivace funkce (definice a vlastnosti, geometrický význam), využití při vyšetřování průběhu funkce. ",,
Kalvoda Tomáš,LS 2016,SI,Ne,ZMA,"Ciselne rady: definice, (absolutni) konvergence, minimalne dve kriteria konvergence. ",,
Kalvoda Tomáš,LS 2022,SI,Ne,ZMA,"Riemannův integrál (definice, vlastnosti a geometrický význam)). Súvislosť s neurčitým integrálom.",,
Kleprlík Luděk,LS 2015,SI,Ne,ZMA,"Funkce jedné proměnné, limita, spojitost, věta o limitě složené funkce, u každého uvést příklad + tam bylo vymyslet příklad na jednostranou limitu, tak aby to „sedělo do zadání“ ",,
Kleprlík Luděk,LS 2015,SI,Ne,ZMA,"průběh funkce, derivace ",,
Kupsa Michal,LS 2015,SI,Ne,ZMA,Derivace a průběh funkce + ukázat na příkladu. ,,
Kupsa Michal,LS 2015,SI,Ne,ZMA,"Limita posloupnosti, limita funkce, řady a součet, odhadnutí řad pomocí integrálů, L'Hospital + příklad ",,
Olšák Petr,LS 2018,SI,Ne,ZMA,"Definovat ciselnu radu, jej sucet, nutnu podmienku konvergencie a priklad rady, ktora nesplnuje nutnu podmienku a lim jej postupnosti je 0 + dokazat.",,
Soudský Filip,LS 2016,SI,Ne,ZMA,"Konvergence řady, odhadování růstu řad pomocí integrálu ",,
Soudský Filip,LS 2016,SI,Ne,ZMA,"Základy integrálního počtu (primitivní funkce, neurčitý integrál, Riemannův integrál (definice, vlastnosti a geometrický význam)). ",,
Soudský Filip,LS 2016,SI,Ne,ZMA,"Limita a derivace funkce (definice a vlastnosti, geometrický význam), využití při vyšetřování průběhu funkce. ",,
Štampach František,LS 2015,SI,Ne,ZMA,"Definovat Taylorův polynom, Langrangeův tvar zbytku, vypočítat Taylorův polynom 2. stupně v bodě 0 pro funkci ln(1+x^2) ",,
Vašata Daniel,LS 2016,SI,Ne,ZMA,,,
Zhouf Jaroslav,LS 2015,SI,Ne,ZMA,"Primitivní funkce, neurčitý, určitý integrál, per partes, substituce ",,
Zhouf Jaroslav,ZS 2015,SI,Ne,ZMA,"Derivace, definice a geometrický význam, Newtonova metoda pro řešení rovnic typu f(x)=0. ",,
Kalvoda,LS 2021,TI,Ne,ZMA,"Limita a derivace funkce (definice a vlastnosti, geometrický význam) + postačující podmínka pro existenci lokálního minima",,
Kupsa Michal,LS 2016,TI,Ne,ZMA,"Limita a derivace funkce (definice a vlastnosti, geometrický význam), využití při vyšetřování průběhu funkce ",,
Petr Ivo,LS 2016,TI,Ne,ZMA,"Základy integrálního počtu (primitivní funkce, neurčitý integrál, určitý integrál (definice, vlastnosti a geometrický význam, způsob výpočtu)). ",,
Štampach František,LS 2015,TI,Ne,ZMA,"Taylorův polynom, Lagrangeův tvar zbytku (definovat a jejich vlastnosti) a spočítat TP 6. stupně pro cos x v bodě 0. ",,
Trlifajová Kateřina,LS 2018,TI,Ne,ZMA,Derivace funkce,,
Kleprlík Luděk,LS 2015,WM,Ne,ZMA,"Taylorův polynom, Peanův zbytek, Taylorova věta, Taylorův polynom pro sin(x) v Pi a další 2 funkce ",,
Vašata Daniel,LS 2016,WM,Ne,ZMA,Derivace ,,
Klán Petr,ZS 2019,WSI-PG,Ne,ZMA,Riemanův integrál,,
Legerský Jan,LS 2020,WSI-SI,Ne,ZMA,"Číselné řady (konvergence číselné řady, kritéria konvergence, odhadování rychlosti růstu řad pomocí určitého integrálu).",,
Kleprlík Luděk,LS 2022,ZI,Ne,ZMA,"Číselné řady (konvergence číselné řady, kritéria konvergence, odhadování rychlosti růstu řad pomocí určitého integrálu) - Uvést aspoň dvě kritéria konvergence. Vypočítat rychlost růstu pro řadu 1 + 1/2 + 1/3 + 1/3 + 1/4 + 1/5 + ... + 1/n",,
Kalvoda Tomáš,ZS 2017,,Ne,ZMA,"Limita a derivace funkce (definice a vlastnosti, geometrický význam), využití při vyšetřování průběhu funkce. ",,
Pernecká Eva,ZS 2018,,Ne,ZMA,Limita a derivace funkce. Využití při vyšetřování funkce. Lagrangeova věta o přírustku funkce.,,
Petr Ivo,LS 2017,,Ano,ZMA,"Taylorův polynom a Taylorova věta, pro libovolnou funkci a bod vypočítat Taylorův polynom.",,
Starosta Štěpán,LS 2017,,Ne,ZMA,"Limita a derivace (definovat limitu v bode, definovat derivaciu v bode, pravidla pre derivacie suctu, sucinu, nasobku cislom, podielu a slozenej funkcie, vypocitat derivaciu f(x) = x*ln(x), geometricky vyznam a vztah medzi spojitostou a diferencovatelnostou v bode) ",,
Starý Jan,LS 2017,,Ne,ZMA,"Primitivní funkce, podmínky, vlastnosti, Riemannův integrál, vlastnosti, výpočet. ",,
Starý Jan,LS 2017,,Ne,ZMA,"Primitívna funkcia: existencia, definícia. Riemannov integrál: existencia, definícia, geometrický význam. ",,
Zhouf Jaroslav,LS 2017,,Ne,ZMA,"Číselné řady (konvergence číselné řady, kritéria konvergence, odhadování rychlosti růstu řad pomocí určitého integrálu). ",,
Zhouf Jaroslav,LS 2017,,Ne,ZMA,"Základy integrálního počtu (primitivní funkce, neurčitý integrál, Riemannův integrál (definice, vlastnosti a geometrický význam)). ",,
Klán,LS 2020,ISM,Ano,ZNS,"Vícehodnotová logika, základní pojmy a operace ve fuzzy logice, inference ve fuzzy znalostním systému.",,
Klán Petr,LS 2019,ISM,Ano,ZNS,"Základy fuzzy logiky - definice fuzzy množiny a jak se dělá konjunkce, disjunkce, implikace, negace...",,
Petr Klán,LS 2020,ISM,Ano,ZNS,"Fuzzy množiny. Zaměření: defenice fuzzy množiny, operace nad fuzzy(sjednocení, pruník), pravidla tvaru ""IF A je a AND B je b THEN C je c"" v IM",,
Holeňa Martin,LS 2022,ZI,Ano,ZNS,"Základy fuzzy logiky, neurčitost, relace.",,
Smítková Janků,LS 2022,ZI,Ano,ZNS,"Fuzzy vyjádření znalostí, fuzzy inferenční mechanimus",,
Smítková Janků,LS 2022,ZI,Ano,ZNS,Reprezentace znalostí a inference pomocí rozhodovacích stromů.,,
Kordík,LS 2021,ZI,Ano,ZUM,"Evoluční výpočetní techniky: genetický algoritmus, genetické programování, evoluční programování, evoluční strategie. Genetické operátory (selekce, křížení, mutace).",,
Smítková Janků,LS 2021,ZI,Ano,ZUM,"Stavový prostor a jeho prohledávání, stromová expanze, náhodné prohledávání, prohledávání do hloubky a do šířky.",,
Smítková Janků,LS 2022,ZI,Ano,ZUM,"Stavový prostor a neinformované prohledávání, stromová expanze, náhodné prohledávání, prohledávání do hloubky a do šířky.",,
